requirement_id,production_id,production_title,production_type,fictional_client_id,required_category,required_primary_role,acceptable_secondary_roles,mandatory_skills,preferred_skills,city,country,latitude,longitude,venue_type,rehearsal_start_date,rehearsal_end_date,technical_rehearsal_start_date,technical_rehearsal_end_date,performance_start_date,performance_end_date,number_of_performances,contract_duration_days,talent_required,ensemble_or_solo,minimum_experience_years,minimum_director_rating,minimum_showreel_score,minimum_audition_score,physical_skill_requirement,aquatic_experience_required,aerial_experience_required,stunt_experience_required,required_safety_certifications,medical_clearance_required,audition_required,passport_validity_months_required,visa_sponsorship_available,required_languages,overnight_rehearsal_required,weekly_budget_min_usd,weekly_budget_max_usd,travel_provided,accommodation_provided,per_diem_usd,production_risk_level,urgency_level,booking_created_date,application_deadline,special_instructions,requirement_status
REQ-0039,PROD-0039,Upgradable 24/7 emulation Experience,Opening Ceremony,CLI-0034,Performer,Aerial Artist,Vocalist|Dancer,Flying Harness|Aerial Conditioning|Aerial Hoop,Aerial Straps|Height Safety|Bungee Choreography,Dubai,UAE,25.2048,55.2708,Stadium,2027-01-27,2027-02-10,2027-02-09,2027-02-10,2027-02-11,2027-02-23,10,28,1,Department Lead,7.6,4.0,81.6,76.0,Standard,False,True,False,Working at Height,True,True,9,False,English,False,3150.0,5300.0,False,True,90.0,High,Standard,2026-07-15,2026-08-02,Production includes complex cueing and strict safety briefings.,Auditioning
REQ-0040,PROD-0040,Cross-group coherent access Ceremony,Touring Arena Production,CLI-0011,Performer,Dancer,,Jazz Dance|Night Rehearsals|Partnering|Ballet,Bollywood Dance,Abu Dhabi,UAE,24.4539,54.3773,Theme Park,2026-08-17,2026-08-25,2026-08-22,2026-08-25,2026-08-26,2026-09-06,33,21,1,Solo,9.1,4.4,79.1,79.4,Standard,False,False,False,,False,True,12,True,English,True,3100.0,4950.0,True,True,140.0,Low,High,2026-07-05,2026-07-21,Production includes complex cueing and strict safety briefings.,Open
REQ-0041,PROD-0041,Proactive didactic Graphical User Interface Resident Show,Large-Scale Parade,CLI-0079,Performer,Puppeteer,Trampoline Artist|Character Performer,Creature Movement|Backstage Coordination,Large-Scale Puppetry|Prop Handling|Ensemble Puppetry,Dubai,UAE,25.2048,55.2708,Parade Route,2027-02-10,2027-02-19,2027-02-17,2027-02-19,2027-02-20,2027-03-02,16,21,4,Ensemble,3.6,4.2,73.0,62.1,Athletic,False,True,False,,True,True,6,True,English,False,2750.0,4050.0,False,False,135.0,High,Standard,2026-07-12,2026-07-21,Night rehearsals may be scheduled to protect the creative reveal.,Shortlisting
REQ-0042,PROD-0042,Operative fault-tolerant toolset Resident Show,Festival Headline Production,CLI-0061,Performer,Dancer,,Commercial Dance|Character Movement,Partnering|Night Rehearsals|Ballet,Macau,Macau,22.1987,113.5439,Integrated Resort Theatre,2026-10-11,2026-10-29,2026-10-23,2026-10-29,2026-10-30,2026-11-21,69,42,6,Ensemble,5.4,4.0,72.7,78.5,Standard,False,False,False,,False,True,6,True,English|Mandarin,False,2600.0,4650.0,True,True,80.0,Low,Standard,2026-07-12,2026-08-11,Role requires cross-department collaboration during technical integration.,Open
REQ-0043,PROD-0043,Proactive holistic Local Area Network Parade,Touring Arena Production,CLI-0027,Performer,Vocalist,,Click Track|Ensemble Performance,Multilingual Repertoire,Macau,Macau,22.1987,113.5439,Theme Park,2027-01-09,2027-01-13,2027-01-09,2027-01-13,2027-01-14,2027-01-18,8,10,4,Ensemble,8.9,4.0,74.4,86.5,Athletic,False,True,False,,True,True,12,True,English,False,2900.0,5250.0,False,True,85.0,High,Standard,2026-07-09,2026-08-08,Role requires cross-department collaboration during technical integration.,Open
REQ-0044,PROD-0044,Total 5thgeneration groupware Experience,Opening Ceremony,CLI-0038,Performer,Dancer,Aerial Artist|Musician,Night Rehearsals|Bollywood Dance|Ballet|Commercial Dance,Ensemble Choreography,Dubai,UAE,25.2048,55.2708,Water Stage,2026-10-18,2026-10-27,2026-10-21,2026-10-27,2026-10-28,2026-11-07,28,21,20,Ensemble,6.7,3.8,86.2,0.0,Athletic,False,False,False,,False,False,9,True,English|Hindi,False,2800.0,4800.0,True,True,70.0,Medium,Standard,2026-07-02,2026-07-09,Role requires cross-department collaboration during technical integration.,Open
REQ-0045,PROD-0045,Configurable web-enabled circuit Spectacle,Urban Mega-Celebration,CLI-0063,Technical,Drone Show Technician,,Flight Planning|Airspace Coordination|Emergency Procedures|GNSS Systems,Drone Show Operations,Jeddah,Saudi Arabia,21.4858,39.1925,Heritage Site,2027-01-01,2027-01-23,2027-01-17,2027-01-23,2027-01-24,2027-02-25,48,56,1,Solo,1.3,0.0,0.0,0.0,Standard,False,False,False,Commercial Drone Operator,False,False,12,True,English,False,6900.0,12750.0,False,True,45.0,High,Standard,2026-07-05,2026-07-10,Candidate must attend all rehearsals and technical calls.,Open
REQ-0046,PROD-0046,Centralized encompassing time-frame Resident Show,Themed Entertainment Spectacle,CLI-0066,Performer,Acrobatic Performer,Aerial Artist|Puppeteer,Harness Work|Tumbling,Teeterboard|Ensemble Timing,Melbourne,Australia,-37.8136,144.9631,Purpose-Built Theatre,2026-11-26,2026-12-06,2026-11-30,2026-12-06,2026-12-07,2026-12-16,6,21,10,Ensemble,9.8,4.0,57.8,72.5,Standard,False,True,False,,True,True,9,True,English,True,2900.0,3150.0,True,False,100.0,High,Standard,2026-07-10,2026-07-26,Night rehearsals may be scheduled to protect the creative reveal.,Auditioning
REQ-0047,PROD-0047,Object-based asynchronous moratorium Resident Show,Experiential Dining Show,CLI-0032,Creative,Sound Designer,,Spatial Audio|System Design|Playback Systems|Timecode,Sound Design|Show Control|Wireless Coordination,Riyadh,Saudi Arabia,24.7136,46.6753,Water Stage,2026-11-20,2026-11-23,2026-11-20,2026-11-23,2026-11-24,2026-11-29,9,10,1,Department Lead,12.5,4.2,73.6,76.7,Standard,False,False,False,,False,True,12,True,English,True,4200.0,5150.0,True,True,80.0,Medium,High,2026-07-13,2026-08-01,Strong ensemble discipline and rapid response to creative notes required.,Shortlisting
REQ-0048,PROD-0048,Phased contextually-based core Ceremony,Outdoor Multimedia Spectacle,CLI-0075,Production & Operations,Production Manager,,Production Management|Master Scheduling|Client Reporting,Budget Control|Opening Readiness|Supplier Management,Abu Dhabi,UAE,24.4539,54.3773,Convention Campus,2026-11-23,2026-11-26,2026-11-23,2026-11-26,2026-11-27,2026-12-02,4,10,20,Ensemble,7.9,4.4,0.0,0.0,Standard,False,False,False,First Aid,False,False,12,True,English,True,6050.0,11850.0,True,True,120.0,Medium,Standard,2026-06-29,2026-07-30,Candidate must attend all rehearsals and technical calls.,Auditioning
REQ-0049,PROD-0049,Function-based homogeneous access Parade,Large-Scale Parade,CLI-0074,Performer,Character Performer,Parkour Artist|BMX Rider,Mask Performance|Improvisation|Parade Performance,Audience Interaction,Riyadh,Saudi Arabia,24.7136,46.6753,Outdoor Urban District,2027-01-16,2027-02-02,2027-01-29,2027-02-02,2027-02-03,2027-02-19,44,35,40,Ensemble,6.2,4.0,67.6,73.8,Athletic,False,False,False,,False,True,6,True,English|Arabic,True,2600.0,4950.0,True,False,110.0,Medium,Standard,2026-06-29,2026-07-04,Candidate must attend all rehearsals and technical calls.,Auditioning
REQ-0050,PROD-0050,Decentralized zero administration structure Spectacle,Touring Arena Production,CLI-0035,Performer,Aerial Artist,Vocalist|Acrobatic Performer,Bungee Choreography|Aerial Straps,Aerial Silks|Height Safety,Macau,Macau,22.1987,113.5439,Public Waterfront,2026-12-21,2027-01-08,2027-01-05,2027-01-08,2027-01-09,2027-01-24,8,35,40,Ensemble,6.1,4.6,57.3,0.0,Athletic,False,True,False,Working at Height,True,False,9,True,English,False,2400.0,4700.0,True,True,60.0,High,High,2026-07-01,2026-07-26,Role requires cross-department collaboration during technical integration.,Open
REQ-0051,PROD-0051,Fully-configurable human-resource throughput Parade,Cultural Landmark Ceremony,CLI-0053,Creative,Show Director,,Stakeholder Presentations|Rehearsal Direction|Cue Integration|Opening Readiness,Show Direction,Riyadh,Saudi Arabia,24.7136,46.6753,Public Waterfront,2026-08-17,2026-08-26,2026-08-25,2026-08-26,2026-08-27,2026-09-06,26,21,20,Ensemble,8.3,4.4,86.7,70.5,Standard,False,False,False,First Aid,False,True,6,True,English,False,8050.0,16550.0,True,True,140.0,Medium,Critical,2026-07-01,2026-07-30,Production includes complex cueing and strict safety briefings.,Shortlisting
REQ-0052,PROD-0052,Organic dynamic support Parade,Festival Headline Production,CLI-0005,Performer,Vocalist,,Live Vocals|Multilingual Repertoire|Click Track,Harmony Singing,Abu Dhabi,UAE,24.4539,54.3773,Outdoor Urban District,2026-09-07,2026-09-26,2026-09-20,2026-09-26,2026-09-27,2026-11-01,37,56,20,Ensemble,1.4,3.8,66.8,72.9,Athletic,False,False,False,,False,True,12,True,English,False,2650.0,3400.0,True,True,40.0,Medium,Standard,2026-07-06,2026-08-04,Production includes complex cueing and strict safety briefings.,Open
REQ-0053,PROD-0053,Automated dedicated knowledgebase Parade,Experiential Dining Show,CLI-0005,Performer,Dancer,,Ensemble Choreography|Commercial Dance|Ballet|Bollywood Dance,Night Rehearsals,London,United Kingdom,51.5072,-0.1276,Heritage Site,2026-12-24,2027-01-15,2027-01-12,2027-01-15,2027-01-16,2027-02-17,66,56,1,Department Lead,2.9,4.2,76.2,76.8,Athletic,False,False,False,,False,True,9,True,English,False,2950.0,5750.0,True,True,50.0,Medium,Standard,2026-07-08,2026-07-27,Strong ensemble discipline and rapid response to creative notes required.,Open
REQ-0054,PROD-0054,User-centric zero administration attitude Parade,Themed Entertainment Spectacle,CLI-0030,Performer,Acrobatic Performer,Aerial Artist|Puppeteer,Acrobatic Partnering|Tumbling|Ensemble Timing,Safety Spotting,Dubai,UAE,25.2048,55.2708,Purpose-Built Theatre,2026-08-04,2026-08-07,2026-08-05,2026-08-07,2026-08-08,2026-08-13,1,10,10,Ensemble,9.8,4.2,58.4,0.0,Athletic,False,False,False,,False,False,12,True,English|Arabic,True,3550.0,5350.0,True,True,65.0,Medium,Critical,2026-07-06,2026-07-18,International travel documents must be ready before contracting.,Auditioning
REQ-0055,PROD-0055,Programmable static database Ceremony,Opening Ceremony,CLI-0066,Technical,Pyrotechnics Technician,,Cue Programming|Explosive Safety|Weather Monitoring|Pyrotechnics,Authority Coordination|Misfire Procedures|Firing Systems,Sydney,Australia,-33.8688,151.2093,Convention Campus,2026-12-07,2026-12-09,2026-12-07,2026-12-09,2026-12-10,2026-12-13,5,7,10,Ensemble,8.1,4.0,0.0,0.0,Standard,False,False,False,Licensed Pyrotechnician,False,False,9,True,English,False,5450.0,8150.0,False,True,105.0,High,Standard,2026-07-02,2026-07-22,Role requires cross-department collaboration during technical integration.,Shortlisting
REQ-0056,PROD-0056,Phased human-resource software Experience,Festival Headline Production,CLI-0042,Technical,Lighting Programmer,SFX Technician|Audio Engineer,Networked Lighting|GrandMA Programming|Fixture Management,Previsualization|Troubleshooting,Dubai,UAE,25.2048,55.2708,Parade Route,2026-08-14,2026-08-23,2026-08-19,2026-08-23,2026-08-24,2026-09-03,23,21,4,Ensemble,5.0,4.6,0.0,0.0,Standard,False,False,False,First Aid,False,False,6,True,English|Hindi,False,4700.0,6750.0,False,True,95.0,Medium,Standard,2026-07-09,2026-07-22,International travel documents must be ready before contracting.,Open
REQ-0057,PROD-0057,Integrated fresh-thinking complexity Parade,Themed Entertainment Spectacle,CLI-0034,Production & Operations,Stage Manager,,Cue Management|Show Calling|Incident Reporting|Backstage Coordination,Cast Coordination,Abu Dhabi,UAE,24.4539,54.3773,Convention Campus,2027-02-12,2027-02-14,2027-02-12,2027-02-14,2027-02-15,2027-02-18,2,7,10,Ensemble,6.0,4.2,0.0,0.0,Standard,False,False,False,,False,False,12,True,English,True,2450.0,3900.0,True,True,130.0,Medium,Critical,2026-07-06,2026-07-23,Production includes complex cueing and strict safety briefings.,Shortlisting
REQ-0058,PROD-0058,Self-enabling upward-trending analyzer Resident Show,Touring Arena Production,CLI-0007,Production & Operations,Production Manager,,Master Scheduling|Production Management,Budget Control,Paris,France,48.8566,2.3522,Heritage Site,2026-10-15,2026-10-19,2026-10-16,2026-10-19,2026-10-20,2026-10-24,16,10,20,Ensemble,0.5,4.2,0.0,0.0,Standard,False,False,False,,False,False,18,True,English,False,7050.0,14500.0,False,False,95.0,Medium,Standard,2026-07-14,2026-07-21,Strong ensemble discipline and rapid response to creative notes required.,Open
REQ-0059,PROD-0059,User-friendly neutral model Ceremony,Cultural Landmark Ceremony,CLI-0026,Production & Operations,Stage Manager,Production Manager,Emergency Procedures|Run of Show|Cast Coordination|Technical Rehearsals,Incident Reporting,Abu Dhabi,UAE,24.4539,54.3773,Integrated Resort Theatre,2026-09-11,2026-10-05,2026-10-01,2026-10-05,2026-10-06,2026-11-05,2,56,1,Department Lead,8.1,4.2,0.0,0.0,Standard,False,False,False,First Aid,False,False,18,True,English,False,2600.0,3950.0,True,True,95.0,Medium,Critical,2026-07-16,2026-07-22,Candidate must attend all rehearsals and technical calls.,Open
REQ-0060,PROD-0060,Decentralized eco-centric matrices Ceremony,Large-Scale Parade,CLI-0040,Performer,BMX Rider,Parkour Artist|Dancer,Choreographed Riding|Precision Riding|Jump Sequences|Protective Equipment,Risk Assessment,Melbourne,Australia,-37.8136,144.9631,Arena,2026-12-10,2026-12-17,2026-12-16,2026-12-17,2026-12-18,2026-12-30,37,21,1,Department Lead,4.9,3.8,55.9,60.3,Athletic,False,True,True,,True,True,9,True,English,True,2350.0,4300.0,True,True,145.0,High,Standard,2026-07-10,2026-08-06,Strong ensemble discipline and rapid response to creative notes required.,Auditioning
REQ-0061,PROD-0061,Sharable exuding customer loyalty Experience,Resident Aquatic Show,CLI-0077,Production & Operations,Safety Manager,Stage Manager,Working at Height|Risk Assessment|Aquatic Safety,Crowd Safety|Incident Investigation,Orlando,United States,28.5383,-81.3792,Convention Campus,2026-08-20,2026-09-09,2026-09-07,2026-09-09,2026-09-10,2026-10-14,47,56,1,Featured,10.5,4.0,0.0,0.0,Standard,False,False,False,First Aid,False,False,12,True,English,False,4900.0,9800.0,True,True,140.0,Low,Standard,2026-07-16,2026-07-23,Night rehearsals may be scheduled to protect the creative reveal.,Shortlisting
REQ-0062,PROD-0062,Multi-lateral actuating secured line Ceremony,Outdoor Multimedia Spectacle,CLI-0070,Creative,Projection Designer,,Projection Design|Content Mapping|Show Control|Creative Content Integration,Previsualization,Macau,Macau,22.1987,113.5439,Outdoor Urban District,2026-12-13,2026-12-29,2026-12-24,2026-12-29,2026-12-30,2027-01-23,47,42,1,Department Lead,5.2,3.8,56.1,66.9,Standard,False,False,False,,False,True,6,False,English,True,3000.0,3850.0,False,True,85.0,Low,Standard,2026-07-16,2026-08-07,Strong ensemble discipline and rapid response to creative notes required.,Shortlisting
REQ-0063,PROD-0063,Extended bifurcated encoding Parade,Opening Ceremony,CLI-0023,Creative,Projection Designer,Show Director|Lighting Designer,Projection Design|Previsualization|Large-Format Projection|Media Servers,Creative Content Integration,Barcelona,Spain,41.3874,2.1686,Outdoor Urban District,2026-11-12,2026-12-03,2026-11-30,2026-12-03,2026-12-04,2026-12-23,42,42,6,Ensemble,15.3,4.4,80.2,63.4,Standard,False,False,False,First Aid,False,True,6,True,English,False,4350.0,6950.0,True,False,100.0,Medium,Standard,2026-07-02,2026-07-10,International travel documents must be ready before contracting.,Auditioning
REQ-0064,PROD-0064,Sharable intermediate Graphic Interface Spectacle,Resident Aquatic Show,CLI-0007,Production & Operations,Safety Manager,Stage Manager,Incident Investigation|Risk Assessment|Emergency Planning,Aquatic Safety,Hong Kong,Hong Kong,22.3193,114.1694,Theme Park,2027-01-27,2027-02-04,2027-02-03,2027-02-04,2027-02-05,2027-02-16,16,21,10,Ensemble,10.7,3.8,0.0,0.0,Standard,False,False,False,,False,False,12,True,English,False,5300.0,9650.0,True,True,80.0,Medium,High,2026-07-15,2026-07-28,Night rehearsals may be scheduled to protect the creative reveal.,Open
REQ-0065,PROD-0065,Advanced composite utilization Ceremony,Themed Entertainment Spectacle,CLI-0050,Technical,SFX Technician,,Show Control|Risk Assessment|Water Effects|CO2 Effects,Flame Effects|Special Effects,Riyadh,Saudi Arabia,24.7136,46.6753,Integrated Resort Theatre,2026-11-18,2026-11-20,2026-11-18,2026-11-20,2026-11-21,2026-11-24,2,7,10,Ensemble,7.1,3.8,0.0,0.0,Standard,False,False,False,First Aid,False,False,12,False,English,False,3250.0,5650.0,True,True,115.0,Low,Standard,2026-07-14,2026-08-06,Production includes complex cueing and strict safety briefings.,Open
REQ-0066,PROD-0066,Grass-roots optimal capability Parade,Touring Arena Production,CLI-0037,Production & Operations,Production Coordinator,,Visa Coordination|Cast Logistics|Accommodation Planning,Document Control|Vendor Coordination|Travel Logistics,Melbourne,Australia,-37.8136,144.9631,Hotel Immersive Venue,2027-02-14,2027-02-21,2027-02-20,2027-02-21,2027-02-22,2027-03-06,39,21,20,Ensemble,10.9,4.6,0.0,0.0,Standard,False,False,False,,False,False,6,True,English,True,3500.0,7350.0,True,True,135.0,Medium,High,2026-06-29,2026-07-07,Candidate must attend all rehearsals and technical calls.,Open
REQ-0067,PROD-0067,Object-based dynamic access Parade,Urban Mega-Celebration,CLI-0016,Production & Operations,Production Manager,,Master Scheduling|Production Management|Risk Management|Supplier Management,Budget Control|Opening Readiness|Contract Administration,Riyadh,Saudi Arabia,24.7136,46.6753,Heritage Site,2026-09-07,2026-10-05,2026-10-04,2026-10-05,2026-10-06,2026-11-01,90,56,1,Featured,11.9,3.8,0.0,0.0,Standard,False,False,False,,False,False,9,True,English|Arabic,False,4250.0,9100.0,True,True,105.0,High,Standard,2026-07-10,2026-07-30,International travel documents must be ready before contracting.,Open
REQ-0068,PROD-0068,Balanced optimal toolset Spectacle,Integrated Resort Show,CLI-0051,Performer,Acrobatic Performer,,Ensemble Timing|Harness Work|Chinese Pole,Hand Balancing,Dubai,UAE,25.2048,55.2708,Purpose-Built Theatre,2026-10-02,2026-11-08,2026-11-05,2026-11-08,2026-11-09,2026-12-30,42,90,2,Ensemble,12.3,4.2,75.9,84.8,Athletic,False,False,False,,True,True,6,False,English,False,3500.0,6400.0,True,False,50.0,High,Standard,2026-07-02,2026-07-24,Strong ensemble discipline and rapid response to creative notes required.,Open
REQ-0069,PROD-0069,Team-oriented methodical solution Resident Show,Immersive Theatre,CLI-0009,Creative,Scenic Designer,,Scenic Design|Fabrication Oversight|Creative Visualization,Large-Scale Scenography|Material Specification,Macau,Macau,22.1987,113.5439,Public Waterfront,2026-09-22,2026-09-24,2026-09-22,2026-09-24,2026-09-25,2026-09-28,8,7,1,Department Lead,7.2,4.0,58.0,62.7,Standard,False,False,False,,False,True,12,True,English,False,4150.0,7050.0,False,True,80.0,Medium,Standard,2026-07-03,2026-07-27,Candidate must attend all rehearsals and technical calls.,Auditioning
REQ-0070,PROD-0070,Right-sized coherent hub Resident Show,Touring Arena Production,CLI-0047,Technical,Lighting Programmer,,GrandMA Programming|Timecode Programming|Fixture Management,Networked Lighting|Cueing|Troubleshooting,Abu Dhabi,UAE,24.4539,54.3773,Heritage Site,2027-01-04,2027-01-08,2027-01-05,2027-01-08,2027-01-09,2027-01-17,9,14,10,Ensemble,3.1,4.2,0.0,0.0,Standard,False,True,False,,False,False,6,False,English,False,3100.0,5300.0,True,True,110.0,High,Standard,2026-07-07,2026-08-07,International travel documents must be ready before contracting.,Open
REQ-0071,PROD-0071,Visionary background encryption Parade,Touring Arena Production,CLI-0041,Technical,Rigger,,Load Calculations|Rescue Planning|Aerial Rigging,Inspection Documentation|Temporary Structures|High-Wire Rigging,Hong Kong,Hong Kong,22.3193,114.1694,Hotel Immersive Venue,2027-01-20,2027-01-22,2027-01-20,2027-01-22,2027-01-23,2027-01-26,13,7,1,Department Lead,11.1,4.2,0.0,0.0,Standard,False,False,False,Entertainment Rigging Level 2|Working at Height,False,False,9,True,English,False,3900.0,4550.0,True,False,60.0,High,Standard,2026-07-16,2026-08-07,Candidate must attend all rehearsals and technical calls.,Open
REQ-0072,PROD-0072,Diverse modular array Parade,Large-Scale Parade,CLI-0034,Performer,Dancer,Musician|Acrobatic Performer,Jazz Dance|Partnering|Bollywood Dance|Contemporary Dance,Ensemble Choreography|Night Rehearsals|Commercial Dance,Riyadh,Saudi Arabia,24.7136,46.6753,Heritage Site,2026-11-15,2026-11-17,2026-11-15,2026-11-17,2026-11-18,2026-11-21,13,7,6,Ensemble,11.4,0.0,62.5,0.0,Standard,False,False,False,,True,False,18,False,English,True,2350.0,3000.0,True,True,105.0,High,Standard,2026-07-02,2026-07-09,Role requires cross-department collaboration during technical integration.,Open
REQ-0073,PROD-0073,Synergized regional Graphical User Interface Ceremony,Integrated Resort Show,CLI-0059,Performer,Dancer,,Commercial Dance|Contemporary Dance|Partnering,Character Movement,Paris,France,48.8566,2.3522,Parade Route,2026-09-19,2026-09-23,2026-09-21,2026-09-23,2026-09-24,2026-10-02,14,14,20,Ensemble,2.8,4.2,64.2,65.3,Athletic,False,False,False,,False,True,9,True,English,False,3550.0,5950.0,True,True,135.0,Medium,High,2026-07-01,2026-07-18,Production includes complex cueing and strict safety briefings.,Auditioning
REQ-0074,PROD-0074,Virtual responsive approach Ceremony,Immersive Theatre,CLI-0008,Performer,Character Performer,Vocalist|Musician,Audience Interaction|Movement Direction,Parade Performance|Improvisation,Jeddah,Saudi Arabia,21.4858,39.1925,Hotel Immersive Venue,2026-11-04,2026-11-06,2026-11-05,2026-11-06,2026-11-07,2026-11-10,12,7,6,Ensemble,11.4,4.4,73.9,87.2,Athletic,False,False,False,,False,True,12,True,English,False,2550.0,5000.0,False,True,85.0,Medium,Standard,2026-07-10,2026-07-17,International travel documents must be ready before contracting.,Open
REQ-0075,PROD-0075,Centralized heuristic project Resident Show,Immersive Theatre,CLI-0058,Performer,Vocalist,,In-Ear Monitoring|Vocal Endurance|Harmony Singing|Ensemble Performance,Character Vocals|Live Vocals|Multilingual Repertoire,Dubai,UAE,25.2048,55.2708,Stadium,2026-11-08,2026-12-16,2026-12-14,2026-12-16,2026-12-17,2027-01-16,37,70,20,Ensemble,0.5,4.0,83.5,73.5,Standard,False,False,False,,False,True,6,True,English,True,2900.0,4850.0,True,True,135.0,Medium,Standard,2026-07-07,2026-08-02,Role requires cross-department collaboration during technical integration.,Auditioning
REQ-0076,PROD-0076,Distributed tangible monitoring Parade,Urban Mega-Celebration,CLI-0016,Performer,Dancer,,Night Rehearsals|Contemporary Dance|Bollywood Dance,Character Movement|Jazz Dance|Ensemble Choreography,Dubai,UAE,25.2048,55.2708,Arena,2026-09-22,2026-10-09,2026-10-03,2026-10-09,2026-10-10,2026-11-02,4,42,2,Ensemble,5.3,4.2,85.1,78.2,Athletic,False,False,False,,False,True,12,False,English|French,False,3200.0,5500.0,True,True,75.0,Medium,Standard,2026-07-03,2026-07-11,Production includes complex cueing and strict safety briefings.,Auditioning
REQ-0077,PROD-0077,Customer-focused clear-thinking matrix Experience,Touring Arena Production,CLI-0076,Technical,Audio Engineer,Rigger|Lighting Programmer,Digital Consoles|System Tuning|Wireless Coordination,Show Recording|FOH Mixing,Abu Dhabi,UAE,24.4539,54.3773,Stadium,2026-11-10,2026-12-09,2026-12-06,2026-12-09,2026-12-10,2027-01-04,9,56,1,Featured,4.8,4.0,0.0,0.0,Standard,False,False,False,First Aid,False,False,6,True,English,True,3750.0,7000.0,True,True,110.0,Medium,Standard,2026-07-01,2026-07-28,Candidate must attend all rehearsals and technical calls.,Auditioning
REQ-0078,PROD-0078,Focused foreground open architecture Experience,Themed Entertainment Spectacle,CLI-0052,Performer,Acrobatic Performer,,Hand Balancing|Teeterboard,Chinese Pole,Jeddah,Saudi Arabia,21.4858,39.1925,Stadium,2026-09-07,2026-09-16,2026-09-12,2026-09-16,2026-09-17,2026-10-04,36,28,2,Ensemble,3.9,0.0,68.0,61.0,Standard,False,False,False,,False,True,6,True,English,False,2200.0,4250.0,True,True,140.0,Medium,Standard,2026-07-10,2026-08-09,International travel documents must be ready before contracting.,Open
REQ-0079,PROD-0079,Stand-alone web-enabled hardware Experience,Immersive Theatre,CLI-0032,Creative,Associate Director,Sound Designer|Show Director,Cast Notes|Creative Documentation,Blocking|Performance Reports|Cross-Department Coordination,Riyadh,Saudi Arabia,24.7136,46.6753,Heritage Site,2026-08-14,2026-08-19,2026-08-15,2026-08-19,2026-08-20,2026-08-27,23,14,4,Ensemble,11.7,4.2,73.7,62.7,Standard,False,False,False,,False,True,12,False,English,True,3850.0,7750.0,True,True,65.0,Medium,Standard,2026-06-30,2026-07-14,Production includes complex cueing and strict safety briefings.,Open
